2018-10-07 21:23:52,b'RT @joe_maeder: @RealJack @Alyssa_Milano knew of Weinstein for years. She is a friend of the Weinsteins. Milano turned her back on @rosemcg\xe2\x80\xa6'
2018-10-07 21:49:54,b'RT @blowticious: Let me save y\xe2\x80\x99all a click. @rosemcgowan thinks #MeToo is bullshit because nobody invites her to speak. Let that statement\xe2\x80\xa6',
2018-10-07 21:49:53,b'@KellyannePolls You are totally clueless. Using #MeToo is totally inappropriate when congratulating a possible assa\xe2\x80\xa6 https://t.co/eAFUsAfDR5',
2018-10-07 21:49:53,b'RT @KTHopkins: So excited for #KavanaughConfirmation and for the coven of  #MeToo witches to dissolve in their own sulphuric secretions. Oo\xe2\x80\xa6',
2018-10-07 21:49:53,"b'RT @EastTNLady: For those of you saying that your sons, brothers, husbands, etc. should be afraid of the outcome of the #MeToo movement and\xe2\x80\xa6'",
2018-10-07 21:49:52,b'RT @ConservaMomUSA: Never thought I\xe2\x80\x99d long 4the days when these #MeToo mobsters were jumping out of moving cars while doing the Kiki dance\xe2\x80\xa6',
2018-10-07 21:49:51,"b""RT @AndyOstroy: Only the corrupt, soulless Republican Party could claim that a 2nd or 3rd sexual-abuse victim coming forward served to 'und\xe2\x80\xa6""",
2018-10-07 21:49:49,"b'RT @NEJM: In response to the #MeToo and #TimesUp movements, some men in positions of power say they are afraid to participate in mentoring\xe2\x80\xa6'",
2018-10-07 21:49:48,"b'RT @Barbara96913515: .@Alyssa_Milano on #metoo: ""I think that this cultural shift that we\'re feeling, this collective pain that we\'re feeli\xe2\x80\xa6'",
2018-10-07 21:49:48,"b'RT @IndivisibleNet: \xe2\x80\x9cThe message is if you recognize this, if you understand this pain, if you are part of this movement, your vote matters\xe2\x80\xa6'",
2018-10-07 21:49:47,b'RT @gatewaypundit: EXCLUSIVE... Juanita Broaddrick: Anti-Kavanaugh #MeToo Protesters Never Heard Of Me @Atensnut @Alicia_Powe https://t.co/\xe2\x80\xa6',
2018-10-07 21:49:46,b'RT @LaloDagach: I hope more western feminists watch videos like this and realize how Muslim fundamentals are using their movement to oppres\xe2\x80\xa6',
2018-10-07 21:49:46,b'RT @PapillonBelier: Walking through this exhibit was so hard. I had to come in and leave and then come in and leave. I am heartbroken. #MeT\xe2\x80\xa6',
2018-10-07 21:49:46,"b""RT @LadyRedWave: Agreed Laura! I'm sick of the sniveling, cowardly #Rep being cowed by the #MeToo movement to give credence to LIES! IT WAS\xe2\x80\xa6""",
2018-10-07 21:49:45,"b'RT @SaraFloodman: I am a #MeToo survivor and am utterly stressed, scared, and very angry. I need to connect with other #Resisters!\n\nI will\xe2\x80\xa6'",
2018-10-07 21:49:44,"b""RT @DaShanneStokes: The Ku Klux Klan threw a victory parade when @realDonaldTrump was installed in office, Don't think for a minute that ra\xe2\x80\xa6""",
2018-10-07 21:49:42,b'RT @laloalcaraz: She loves her job. Please share #laloalcaraz cartoons. #kavanope #SupremeCourt #metoo #Midterms https://t.co/xJL3hNXref',
2018-10-07 21:49:42,"b""RT @LadyRedWave: Agreed Laura! I'm sick of the sniveling, cowardly #Rep being cowed by the #MeToo movement to give credence to LIES! IT WAS\xe2\x80\xa6""",
2018-10-07 21:49:41,"b""Let's put Booker on the receiving end. Calling for the woman he groped in the article he penned or any other to com\xe2\x80\xa6 https://t.co/RikXY8uTnj""",
2018-10-07 21:49:40,"b'Ignorance is your strength, Mitch: https://t.co/D27uZ3k49Z (free to download). #McConnell #GOP #metoo #Kavanaugh'",
2018-10-07 21:49:37,"b'RT @KZiwica: This, on the anniversary of #MeToo, where many have said the defamation laws are having a chilling affect and frustrating effo\xe2\x80\xa6'",
2018-10-07 21:49:37,"b'""After One Year Of Headlines, #MeToo Is Everywhere"" https://t.co/TTo3uKfCLo'",
2018-10-07 21:49:35,"b'RT @KellyannePolls: Congratulations to Associate Justice of the United States Supreme Court Brett Kavanaugh, and to his family. \n\nYour refu\xe2\x80\xa6'",
2018-10-07 21:49:34,b'RT @mrdolcethecat: \xe2\x80\x9cWe wanted to focus to be on the trauma of whatever she went through and the courage it took for her to come up there\xe2\x80\x9d s\xe2\x80\xa6',
2018-10-07 21:49:32,b'Book your rooms and flights\xe2\x80\x94\xe2\x80\x94#metoo and be there in &amp;\nJanuary 2019. #BelieveWomen https://t.co/iR7TwIIxQv',
2018-10-07 21:49:32,b'@chelseahandler Trumps going to get to pick yet another Supreme Court Judge soon. #metoo How much longer do you thi\xe2\x80\xa6 https://t.co/iJ8bx10Un7',
2018-10-07 21:49:31,"b'RT @realTRUMPERLAND: I wore a sun dress to the flea market today &amp; an old man came up to me &amp; said, \xe2\x80\x9cYou look beautiful. Is it ok I say tha\xe2\x80\xa6'",
2018-10-07 21:49:31,b'RT @ConservaMomUSA: #MeToo mob boss @AylssaMilano on believing survivors: \xe2\x80\x9cwe\xe2\x80\x99re defining what due process looks like in this situation bec\xe2\x80\xa6',
2018-10-07 21:49:30,b'RT @jbendery: She actually used the #MeToo hashtag. To celebrate Kavanaugh. \n\n\xf0\x9f\x98\x90 https://t.co/JM1lh9jQIp',
2018-10-07 21:51:55,b'One of my mentors said it best. There is no right or wrong anymore. All people care about is winning. And right now\xe2\x80\xa6 https://t.co/r7zvmJFXkb'
